-3.000000 0.011109
-2.939394 0.013300
-2.878788 0.015864
-2.818182 0.018853
-2.757576 0.022324
-2.696970 0.026336
-2.636364 0.030955
-2.575758 0.036252
-2.515152 0.042299
-2.454545 0.049174
-2.393939 0.056956
-2.333333 0.065729
-2.272727 0.075574
-2.212121 0.086575
-2.151515 0.098815
-2.090909 0.112371
-2.030303 0.127318
-1.969697 0.143725
-1.909091 0.161651
-1.848485 0.181147
-1.787879 0.202249
-1.727273 0.224982
-1.666667 0.249352
-1.606061 0.275349
-1.545455 0.302942
-1.484848 0.332077
-1.424242 0.362680
-1.363636 0.394652
-1.303030 0.427867
-1.242424 0.462176
-1.181818 0.497407
-1.121212 0.533360
-1.060606 0.569816
-1.000000 0.606531
-0.939394 0.643244
-0.878788 0.679679
-0.818182 0.715545
-0.757576 0.750541
-0.696970 0.784363
-0.636364 0.816703
-0.575758 0.847259
-0.515152 0.875736
-0.454545 0.901851
-0.393939 0.925340
-0.333333 0.945959
-0.272727 0.963493
-0.212121 0.977753
-0.151515 0.988587
-0.090909 0.995876
-0.030303 0.999541
0.030303 0.999541
0.090909 0.995876
0.151515 0.988587
0.212121 0.977753
0.272727 0.963493
0.333333 0.945959
0.393939 0.925340
0.454545 0.901851
0.515152 0.875736
0.575758 0.847259
0.636364 0.816703
0.696970 0.784363
0.757576 0.750541
0.818182 0.715545
0.878788 0.679679
0.939394 0.643244
1.000000 0.606531
1.060606 0.569816
1.121212 0.533360
1.181818 0.497407
1.242424 0.462176
1.303030 0.427867
1.363636 0.394652
1.424242 0.362680
1.484848 0.332077
1.545455 0.302942
1.606061 0.275349
1.666667 0.249352
1.727273 0.224982
1.787879 0.202249
1.848485 0.181147
1.909091 0.161651
1.969697 0.143725
2.030303 0.127318
2.090909 0.112371
2.151515 0.098815
2.212121 0.086575
2.272727 0.075574
2.333333 0.065729
2.393939 0.056956
2.454545 0.049174
2.515152 0.042299
2.575758 0.036252
2.636364 0.030955
2.696970 0.026336
2.757576 0.022324
2.818182 0.018853
2.878788 0.015864
2.939394 0.013300
3.000000 0.011109

